entity_type,entity_id,canonical,surface,normalized,language,variant,source,catalog_count,active,ambiguity_count,metadata_json
brand,365home,365home,365home,365home,en,canonical,catalog+manual_aliases,36977,true,1,{}
brand,krutoff,krutoff,krutoff,krutoff,en,canonical,catalog+manual_aliases,34633,true,1,{}
brand,dreamexpert,dreamexpert,dreamexpert,dreamexpert,en,canonical,catalog+manual_aliases,24288,true,1,{}
brand,skysleep,skysleep,skysleep,skysleep,en,canonical,catalog+manual_aliases,18709,true,1,{}
brand,printyfull,printyfull,printyfull,printyfull,en,canonical,catalog+manual_aliases,13388,true,1,{}
brand,sleep a lot,sleep a lot,sleep a lot,sleep a lot,en,canonical,catalog+manual_aliases,11776,true,1,{}
brand,sleepteam,sleepteam,sleepteam,sleepteam,en,canonical,catalog+manual_aliases,9569,true,1,{}
brand,apple,apple,apple,apple,en,canonical,catalog+manual_aliases,8659,true,1,{}
brand,apple,apple,аппл,аппл,ru,alias,catalog+manual_aliases,8659,true,1,{}
brand,apple,apple,эпл,эпл,ru,alias,catalog+manual_aliases,8659,true,1,{}
brand,autopilot individual,autopilot individual,autopilot individual,autopilot individual,en,canonical,catalog+manual_aliases,8554,true,1,{}
brand,samsung,samsung,samsung,samsung,en,canonical,catalog+manual_aliases,6023,true,1,{}
brand,samsung,samsung,самсунг,самсунг,ru,alias,catalog+manual_aliases,6023,true,1,{}
brand,teymi,teymi,teymi,teymi,en,canonical,catalog+manual_aliases,5722,true,1,{}
brand,brauberg,brauberg,brauberg,brauberg,en,canonical,catalog+manual_aliases,5019,true,1,{}
brand,бестпарфюм,бестпарфюм,бестпарфюм,бестпарфюм,ru,canonical,catalog+manual_aliases,4115,true,1,{}
brand,nd play,nd play,nd play,nd play,en,canonical,catalog+manual_aliases,3519,true,1,{}
brand,shevanik,shevanik,shevanik,shevanik,en,canonical,catalog+manual_aliases,3452,true,1,{}
brand,кдм,кдм,кдм,кдм,ru,canonical,catalog+manual_aliases,3024,true,1,{}
brand,xiaomi,xiaomi,xiaomi,xiaomi,en,canonical,catalog+manual_aliases,2955,true,1,{}
brand,xiaomi,xiaomi,ксиаоми,ксиаоми,ru,alias,catalog+manual_aliases,2955,true,1,{}
brand,xiaomi,xiaomi,сяоми,сяоми,ru,alias,catalog+manual_aliases,2955,true,1,{}
brand,xiaomi,xiaomi,шаоми,шаоми,ru,alias,catalog+manual_aliases,2955,true,1,{}
brand,no name,no name,no name,no name,en,canonical,catalog+manual_aliases,2871,true,1,{}
brand,arte lamp,arte lamp,arte lamp,arte lamp,en,canonical,catalog+manual_aliases,2574,true,1,{}
brand,megamix nano,megamix nano,megamix nano,megamix nano,en,canonical,catalog+manual_aliases,2341,true,1,{}
brand,playstation,playstation,playstation,playstation,en,canonical,catalog+manual_aliases,2292,true,1,{}
brand,centek,centek,centek,centek,en,canonical,catalog+manual_aliases,2291,true,1,{}
brand,цветное.ру,цветное.ру,цветное.ру,цветной.ру,ru,canonical,catalog+manual_aliases,2291,true,1,{}
brand,цветное.ру,цветное.ру,цветной.ру,цветной.ру,ru,alias,catalog+manual_aliases,2291,true,1,{}
brand,русский стул,русский стул,русский стул,русский стул,ru,canonical,catalog+manual_aliases,2259,true,1,{}
brand,vitaluce,vitaluce,vitaluce,vitaluce,en,canonical,catalog+manual_aliases,2139,true,1,{}
brand,maunfeld,maunfeld,maunfeld,maunfeld,en,canonical,catalog+manual_aliases,2119,true,1,{}
brand,ambrella light,ambrella light,ambrella light,ambrella light,en,canonical,catalog+manual_aliases,2010,true,1,{}
brand,citilux,citilux,citilux,citilux,en,canonical,catalog+manual_aliases,1900,true,1,{}
brand,rose,rose,rose,rose,en,canonical,catalog+manual_aliases,1878,true,1,{}
brand,kitfort,kitfort,kitfort,kitfort,en,canonical,catalog+manual_aliases,1861,true,1,{}
brand,kitfort,kitfort,китфорт,китфорт,ru,alias,catalog+manual_aliases,1861,true,1,{}
brand,stool group,stool group,stool group,stool group,en,canonical,catalog+manual_aliases,1845,true,1,{}
brand,parallax,parallax,parallax,parallax,en,canonical,catalog+manual_aliases,1841,true,1,{}
brand,element,element,element,element,en,canonical,catalog+manual_aliases,1825,true,1,{}
brand,loftime,loftime,loftime,loftime,en,canonical,catalog+manual_aliases,1762,true,1,{}
brand,haier,haier,haier,haier,en,canonical,catalog+manual_aliases,1681,true,1,{}
brand,haier,haier,хайер,хайер,ru,alias,catalog+manual_aliases,1681,true,1,{}
brand,deepson,deepson,deepson,deepson,en,canonical,catalog+manual_aliases,1643,true,1,{}
brand,rexant,rexant,rexant,rexant,en,canonical,catalog+manual_aliases,1631,true,1,{}
brand,huawei,huawei,huawei,huawei,en,canonical,catalog+manual_aliases,1445,true,1,{}
brand,huawei,huawei,хуавей,хуавей,ru,alias,catalog+manual_aliases,1445,true,1,{}
brand,sony,sony,sony,sony,en,canonical,catalog+manual_aliases,1439,true,1,{}
brand,sony,sony,сони,соня,ru,alias,catalog+manual_aliases,1439,true,1,{}
brand,sony,sony,соня,соня,ru,alias,catalog+manual_aliases,1439,true,1,{}
brand,vitaflex,vitaflex,vitaflex,vitaflex,en,canonical,catalog+manual_aliases,1420,true,1,{}
brand,шарм дизайн,шарм дизайн,шарм дизайн,шарм дизайн,ru,canonical,catalog+manual_aliases,1414,true,1,{}
brand,lego,lego,lego,lego,en,canonical,catalog+manual_aliases,1314,true,1,{}
brand,zigmund shtain,zigmund shtain,zigmund shtain,zigmund shtain,en,canonical,catalog+manual_aliases,1314,true,1,{}
brand,dled,dled,dled,dled,en,canonical,catalog+manual_aliases,1240,true,1,{}
brand,am.pm,am.pm,am.pm,am.pm,en,canonical,catalog+manual_aliases,1191,true,1,{}
brand,msi,msi,msi,msi,en,canonical,catalog+manual_aliases,1169,true,1,{}
brand,red line,red line,red line,red line,en,canonical,catalog+manual_aliases,1141,true,1,{}
brand,bosch,bosch,bosch,bosch,en,canonical,catalog+manual_aliases,1127,true,1,{}
brand,bosch,bosch,бош,бош,ru,alias,catalog+manual_aliases,1127,true,1,{}
brand,rival,rival,rival,rival,en,canonical,catalog+manual_aliases,1127,true,1,{}
brand,brabantia,brabantia,brabantia,brabantia,en,canonical,catalog+manual_aliases,1122,true,1,{}
brand,asus,asus,asus,asus,en,canonical,catalog+manual_aliases,1117,true,1,{}
brand,asus,asus,асус,асус,ru,alias,catalog+manual_aliases,1117,true,1,{}
brand,funko,funko,funko,funko,en,canonical,catalog+manual_aliases,1111,true,1,{}
brand,nintendo,nintendo,nintendo,nintendo,en,canonical,catalog+manual_aliases,1110,true,1,{}
brand,grocenberg,grocenberg,grocenberg,grocenberg,en,canonical,catalog+manual_aliases,1091,true,1,{}
brand,lara,lara,lara,lara,en,canonical,catalog+manual_aliases,1052,true,1,{}
brand,fiorenzo,fiorenzo,fiorenzo,fiorenzo,en,canonical,catalog+manual_aliases,1031,true,1,{}
brand,champion,champion,champion,champion,en,canonical,catalog+manual_aliases,1022,true,1,{}
brand,oasis,oasis,oasis,oasis,en,canonical,catalog+manual_aliases,1019,true,1,{}
brand,robotcomp,robotcomp,robotcomp,robotcomp,en,canonical,catalog+manual_aliases,981,true,1,{}
brand,xbox,xbox,xbox,xbox,en,canonical,catalog+manual_aliases,979,true,1,{}
brand,aquatek,aquatek,aquatek,aquatek,en,canonical,catalog+manual_aliases,967,true,1,{}
brand,ssg mirrors,ssg mirrors,ssg mirrors,ssg mirrors,en,canonical,catalog+manual_aliases,966,true,1,{}
brand,mkss,mkss,mkss,mkss,en,canonical,catalog+manual_aliases,961,true,1,{}
brand,brayer,brayer,brayer,brayer,en,canonical,catalog+manual_aliases,959,true,1,{}
brand,jbl,jbl,jbl,jbl,en,canonical,catalog+manual_aliases,929,true,1,{}
brand,jbl,jbl,джибиэль,джибиэль,ru,alias,catalog+manual_aliases,929,true,1,{}
brand,.,.,.,.,neutral,canonical,catalog+manual_aliases,927,true,1,{}
brand,hotz,hotz,hotz,hotz,en,canonical,catalog+manual_aliases,922,true,1,{}
brand,t2,t2,t2,t2,en,canonical,catalog+manual_aliases,920,true,1,{}
brand,правила мебели,правила мебели,правила мебели,правило мебель,ru,canonical,catalog+manual_aliases,917,true,1,{}
brand,правила мебели,правила мебели,правило мебель,правило мебель,ru,alias,catalog+manual_aliases,917,true,1,{}
brand,gorenje,gorenje,gorenje,gorenje,en,canonical,catalog+manual_aliases,914,true,1,{}
brand,gorenje,gorenje,горение,горение,ru,alias,catalog+manual_aliases,914,true,1,{}
brand,gorenje,gorenje,горенье,горение,ru,alias,catalog+manual_aliases,914,true,1,{}
brand,raglo,raglo,raglo,raglo,en,canonical,catalog+manual_aliases,887,true,1,{}
brand,philips,philips,philips,philips,en,canonical,catalog+manual_aliases,886,true,1,{}
brand,philips,philips,филипс,филипс,ru,alias,catalog+manual_aliases,886,true,1,{}
brand,wasserkraft,wasserkraft,wasserkraft,wasserkraft,en,canonical,catalog+manual_aliases,886,true,1,{}
brand,dreamline,dreamline,dreamline,dreamline,en,canonical,catalog+manual_aliases,880,true,1,{}
brand,е1,е1,е1,е1,ru,canonical,catalog+manual_aliases,880,true,1,{}
brand,ikon,ikon,ikon,ikon,en,canonical,catalog+manual_aliases,875,true,1,{}
